,timestamp,open,high,low,close,volume
150,19-05-2020,820.7,841.55,817.35,835.6,4134658
151,20-05-2020,835.55,880.0,829.0,867.35,3882308
152,21-05-2020,870.0,885.65,862.75,881.25,2559584
153,22-05-2020,875.0,918.95,865.0,909.65,4150075
154,26-05-2020,909.65,909.65,863.3,869.1,2557007
155,27-05-2020,871.9,879.7,851.55,873.5,2214746
156,28-05-2020,877.0,907.0,867.6,890.65,3427173
157,29-05-2020,880.0,907.5,873.6,903.25,2674266
158,01-06-2020,912.0,987.0,911.5,972.4,5356502
159,02-06-2020,972.4,977.85,950.2,959.65,2897718
160,03-06-2020,960.0,1003.65,960.0,972.45,3647570
161,04-06-2020,976.0,988.8,962.0,976.55,2490404
162,05-06-2020,983.0,988.9,962.1,965.75,2269700
163,08-06-2020,974.0,979.9,953.5,960.95,1698855
164,09-06-2020,961.5,984.7,938.65,944.45,2201948
165,10-06-2020,944.0,952.8,933.0,941.8,2094163
166,11-06-2020,942.0,957.65,915.0,918.35,2262760
167,12-06-2020,897.0,986.4,895.15,977.6,3325502
168,15-06-2020,975.95,983.9,935.05,940.85,2758671
169,16-06-2020,962.0,969.95,941.0,958.3,2264062
170,17-06-2020,950.0,1009.25,947.1,999.85,5717145
171,18-06-2020,995.0,1014.9,978.0,981.5,2663456
172,19-06-2020,990.0,994.55,968.15,984.4,1458038
173,22-06-2020,990.0,991.85,970.05,974.25,885423
174,23-06-2020,985.0,985.0,962.6,970.65,1357570
175,24-06-2020,984.9,1048.0,980.0,987.75,6080166
176,25-06-2020,988.0,1036.65,978.8,1030.95,3886139
177,26-06-2020,1033.0,1045.1,1005.4,1017.35,2140776
178,29-06-2020,1014.5,1043.65,1002.2,1033.45,2181625
179,30-06-2020,1041.6,1061.7,1032.15,1040.0,3617260
180,01-07-2020,1053.0,1069.0,1018.1,1033.85,3430142
181,02-07-2020,1038.8,1051.15,1021.05,1040.75,2094600
182,03-07-2020,1041.75,1064.5,1039.15,1059.9,1549109
183,06-07-2020,1066.0,1080.0,1052.25,1072.7,2466328
184,07-07-2020,1071.05,1117.0,1065.15,1110.55,2848922
185,08-07-2020,1106.0,1118.7,1081.1,1088.1,1735342
186,09-07-2020,1088.1,1134.65,1088.1,1129.5,3614508
187,10-07-2020,1115.0,1140.85,1113.45,1136.6,2509187
188,13-07-2020,1142.0,1154.8,1124.3,1129.15,1942503
189,14-07-2020,1124.8,1125.0,1074.0,1080.05,1453376
190,15-07-2020,1091.2,1129.85,1076.0,1107.2,1581308
191,16-07-2020,1107.0,1107.0,1075.45,1095.3,947504
192,17-07-2020,1113.9,1136.95,1098.6,1104.6,2068168
193,20-07-2020,1105.35,1126.0,1103.75,1119.6,1087701
194,21-07-2020,1127.0,1178.95,1126.05,1171.75,3757828
195,22-07-2020,1165.0,1210.0,1163.0,1203.7,3475170
196,23-07-2020,1210.0,1210.0,1160.3,1167.25,1591575
197,24-07-2020,1163.95,1176.7,1122.4,1128.25,2050908
198,27-07-2020,1128.25,1151.9,1092.3,1105.95,4110902
199,28-07-2020,1110.1,1169.0,1102.55,1158.05,4065437
200,29-07-2020,1156.95,1184.0,1131.8,1140.8,2305015
201,30-07-2020,1147.0,1150.5,1114.9,1130.05,1581565
202,31-07-2020,1135.35,1161.75,1126.15,1134.0,1832375
203,03-08-2020,1122.0,1139.85,1084.0,1102.1,2224926
204,04-08-2020,1106.0,1129.8,1101.15,1120.3,1303391
205,05-08-2020,1125.3,1174.95,1124.0,1146.55,2651357
206,06-08-2020,1150.0,1160.6,1114.0,1120.55,1354492
207,07-08-2020,1124.0,1148.0,1120.0,1123.65,1753969
208,10-08-2020,1132.65,1138.0,1099.3,1114.05,1618856
209,11-08-2020,1121.2,1142.65,1112.25,1118.8,1068180
210,12-08-2020,1118.95,1135.85,1108.0,1117.8,1403073
211,13-08-2020,1120.9,1143.0,1116.0,1120.85,1412424
212,14-08-2020,1130.0,1172.25,1077.4,1100.65,3609618
213,17-08-2020,1118.0,1159.55,1103.0,1152.65,3412551
214,18-08-2020,1161.0,1172.0,1146.05,1156.05,1918184
215,19-08-2020,1169.4,1198.0,1153.7,1160.1,3963863
216,20-08-2020,1154.9,1172.0,1131.25,1140.0,1923674
217,21-08-2020,1154.8,1157.9,1122.5,1127.8,1471728
218,24-08-2020,1134.8,1144.7,1117.1,1129.1,1359702
219,25-08-2020,1136.0,1152.0,1111.0,1118.1,1518827
220,26-08-2020,1128.4,1135.9,1108.8,1125.8,1548786
221,27-08-2020,1133.9,1164.0,1122.15,1156.15,2332574
222,28-08-2020,1164.95,1172.05,1132.0,1141.1,1569698
223,31-08-2020,1152.9,1152.9,1080.05,1087.6,2003458
224,01-09-2020,1120.05,1153.75,1078.05,1111.75,4953620
225,02-09-2020,1117.8,1234.7,1110.55,1223.6,6663720
226,03-09-2020,1218.0,1235.85,1192.35,1224.55,3024262
227,04-09-2020,1190.0,1214.9,1177.75,1182.4,1781800
228,07-09-2020,1193.9,1213.9,1135.05,1145.95,3198227
229,08-09-2020,1149.95,1164.8,1116.0,1121.1,2515410
230,09-09-2020,1116.0,1216.5,1111.25,1205.8,8979667
231,10-09-2020,1208.9,1230.0,1161.0,1193.45,5403523
232,11-09-2020,1192.8,1214.25,1182.0,1198.6,2739844
233,14-09-2020,1207.0,1276.0,1197.5,1246.5,5297033
234,15-09-2020,1242.5,1256.85,1214.0,1229.8,1650009
235,16-09-2020,1231.0,1272.0,1231.0,1254.95,2210082
236,17-09-2020,1235.0,1259.0,1235.0,1243.85,1038243
237,18-09-2020,1248.8,1280.7,1225.85,1238.6,2225289
238,21-09-2020,1248.0,1259.0,1199.05,1213.35,1940457
239,22-09-2020,1215.0,1227.25,1170.0,1198.8,2106701
240,23-09-2020,1213.0,1245.0,1190.55,1213.75,2319475
241,24-09-2020,1197.0,1205.6,1151.5,1157.9,1886860
242,25-09-2020,1168.6,1208.0,1162.25,1203.4,1759568
243,28-09-2020,1215.8,1305.0,1212.35,1295.6,4865306
244,29-09-2020,1304.0,1323.0,1282.85,1313.65,3815051
245,30-09-2020,1320.0,1342.75,1306.85,1318.45,2476004
246,01-10-2020,1310.0,1310.0,1262.3,1283.5,2603135
247,05-10-2020,1290.0,1296.35,1225.0,1235.55,2267887
248,06-10-2020,1249.3,1265.7,1230.55,1250.85,2187345
